,,,Vanilla Location-1,,,,,,,,,,Vanilla Location-2,,,,,,,,,Vanilla Location-3,,,,,,
,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower
27,27,27,27,27,27,0,27,27,,24,24,24,24,24,24,0,24,24,,19,19,19,19,19,19,0,19,19
28,26,28,28,28,27.6,0.894427191,28.49442719,26.70557281,,23,23,25,25,25,24.2,1.095445115,25.29544512,23.10455488,,20,18,18,18,18,18.4,0.894427191,19.29442719,17.50557281
30,24,27,27,30,27.6,2.50998008,30.10998008,25.09001992,,21,24,27,27,27,25.2,2.683281573,27.88328157,22.51671843,,19,19,16,19,18,18.2,1.303840481,19.50384048,16.89615952
29,25,26,28,31,27.8,2.387467277,30.18746728,25.41253272,,20,25,28,28,28,25.8,3.492849839,29.29284984,22.30715016,,18,20,17,18,16,17.8,1.483239697,19.2832397,16.3167603
27,27,24,30,30,27.6,2.50998008,30.10998008,25.09001992,,18,23,28,27,30,25.2,4.7644517,29.9644517,20.4355483,,19,19,17,16,17,17.6,1.341640786,18.94164079,16.25835921
24,30,23,29,29,27,3.240370349,30.24037035,23.75962965,,21,20,27,28,27,24.6,3.78153408,28.38153408,20.81846592,,20,18,16,17,19,18,1.58113883,19.58113883,16.41886117
23,29,21,29,27,25.8,3.633180425,29.43318042,22.16681958,,22,18,26,26,28,24,4,28,20,,19,19,17,19,18,18.4,0.894427191,19.29442719,17.50557281
23,30,22,27,26,25.6,3.209361307,28.80936131,22.39063869,,21,17,22,23,30,22.6,4.722287581,27.32228758,17.87771242,,22,16,16,18,16,17.6,2.607680962,20.20768096,14.99231904
21,29,21,28,27,25.2,3.898717738,29.09871774,21.30128226,,22,15,18,23,31,21.8,6.058052492,27.85805249,15.74194751,,22,17,19,16,17,18.2,2.387467277,20.58746728,15.81253272
22,27,21,27,28,25,3.240370349,28.24037035,21.75962965,,23,15,17,21,15,18.2,3.633180425,21.83318042,14.56681958,,21,19,18,17,22,19.4,2.073644135,21.47364414,17.32635586
24,26,22,28,30,26,3.16227766,29.16227766,22.83772234,,22,16,15,22,21,19.2,3.420526275,22.62052628,15.77947372,,19,18,19,16,21,18.6,1.816590212,20.41659021,16.78340979
24,27,24,27,29,26.2,2.167948339,28.36794834,24.03205166,,24,16,16,21,20,19.4,3.435112807,22.83511281,15.96488719,,20,16,18,17,21,18.4,2.073644135,20.47364414,16.32635586
