,,,Vanilla Location-1,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,,Vanilla Location-2,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,Vanilla Location-3,,,,,,,,,,,,,Inverse Heat,,,,,mSA Random Heuristics,,,,Vanilla with memory based and memoryless heuristic,,
,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,,new_Mean,Upper,Lower,,,Mean,Upper,Lower,,Mean,Upper,Lower
27,27,27,27,27,27,0,27,27,,27,27,27,,27,27,27,,,24,24,24,24,24,24,0,24,24,,24,24,24,,24,24,24,,,19,19,19,19,19,19,0,19,19,,19,19,19,,,19,19,19,,,19,19,19,,19,19,19
28,26,28,28,28,27.6,0.894427191,28.49442719,26.70557281,,27.5,28.389,26.611,,26,26,26,,,23,23,25,25,25,24.2,1.095445115,25.29544512,23.10455488,,24.1,25.121,23.079,,23,23,23,,,20,18,18,18,18,18.4,0.894427191,19.29442719,17.50557281,,18.65,19.525,17.775,,,18.55,19.236,17.864,,,18.05,18.274,17.826,,18,18,18
30,24,27,27,30,27.6,2.50998008,30.10998008,25.09001992,,27.9,30.098,25.702,,23.95,24.174,23.726,,,21,24,27,27,27,25.2,2.683281573,27.88328157,22.51671843,,25.05,27.062,23.038,,21,21,21,,,19,19,16,19,18,18.2,1.303840481,19.50384048,16.89615952,,19,20.777,17.223,,,17.6,19.029,16.171,,,16.2,16.816,15.584,,16,16,16
29,25,26,28,31,27.8,2.387467277,30.18746728,25.41253272,,28.2,30.342,26.058,,22.85,23.521,22.179,,,20,25,28,28,28,25.8,3.492849839,29.29284984,22.30715016,,25.45,27.539,23.361,,20,20,20,,,18,20,17,18,16,17.8,1.483239697,19.2832397,16.3167603,,19.25,20.9,17.6,,,17.1,18.219,15.981,,,15.25,16.16,14.34,,15,15,15
27,27,24,30,30,27.6,2.50998008,30.10998008,25.09001992,,28.3,30.836,25.764,,20.85,21.521,20.179,,,18,23,28,27,30,25.2,4.7644517,29.9644517,20.4355483,,25.6,28.322,22.878,,18,18,18,,,19,19,17,16,17,17.6,1.341640786,18.94164079,16.25835921,,18.8,20.236,17.364,,,16.4,17.34,15.46,,,13.45,15.055,11.845,,13,13,13
24,30,23,29,29,27,3.240370349,30.24037035,23.75962965,,28.4,31.667,25.133,,17.6,18.595,16.605,,,21,20,27,28,27,24.6,3.78153408,28.38153408,20.81846592,,25.25,28.257,22.243,,15,15,15,,,20,18,16,17,19,18,1.58113883,19.58113883,16.41886117,,18.5,20.262,16.738,,,16.2,17.352,15.048,,,10.9,13.67,8.1299,,10,10,10
23,29,21,29,27,25.8,3.633180425,29.43318042,22.16681958,,28,31.825,24.175,,16.5,17.551,15.449,,,22,18,26,26,28,24,4,28,20,,25,28.418,21.582,,14,14,14,,,19,19,17,19,18,18.4,0.894427191,19.29442719,17.50557281,,18.75,20.824,16.676,,,15.55,16.741,14.359,,,10.65,13.331,7.9692,,9,9,9
23,30,22,27,26,25.6,3.209361307,28.80936131,22.39063869,,27.7,31.675,23.725,,14.4,15.495,13.305,,,21,17,22,23,30,22.6,4.722287581,27.32228758,17.87771242,,24.5,28.493,20.507,,12,12,12,,,22,16,16,18,16,17.6,2.607680962,20.20768096,14.99231904,,18.35,20.533,16.167,,,15.4,17.218,13.582,,,10.3,13.673,6.9267,,7,7,7
21,29,21,28,27,25.2,3.898717738,29.09871774,21.30128226,,27.8,32.586,23.014,,13.25,14.368,12.132,,,22,15,18,23,31,21.8,6.058052492,27.85805249,15.74194751,,24.1,29.009,19.191,,11,11,11,,,22,17,19,16,17,18.2,2.387467277,20.58746728,15.81253272,,19.15,21.284,17.016,,,15.45,17.685,13.215,,,9.95,13.345,6.5553,,6,6,6
