,,SA-17 Location-3,,,,,,,,,,,SA-17 Location-2,,,,,,,,,,,,,SA-17 Location-1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mean,Std,Upper ,Lower,,,,,,,,Mean,Std,Upper ,Lower,,,,,,,,,,Mean,Std,Upper ,Lower
27,27,27,27,27,27,0,27,27,,,24,24,24,24,24,24,0,24,24,,,,,19,19,19,19,19,19,0,19,19
26,26,26,26,25,25.8,0.447213595,26.2472136,25.3527864,,,23,23,23,23,23,23,0,23,23,,,,,18,18,18,18,18,18,0,18,18
24,24,24,24,21,23.4,1.341640786,24.74164079,22.05835921,,,21,21,21,21,21,21,0,21,21,,,,,16,16,16,16,16,16,0,16,16
23,23,23,23,20,22.4,1.341640786,23.74164079,21.05835921,,,20,20,20,20,20,20,0,20,20,,,,,15,15,15,15,15,15,0,15,15
21,21,21,21,18,20.4,1.341640786,21.74164079,19.05835921,,,18,18,18,18,18,18,0,18,18,,,,,13,13,13,13,13,13,0,13,13
18,18,18,18,15,17.4,1.341640786,18.74164079,16.05835921,,,15,15,15,15,15,15,0,15,15,,,,,10,10,10,10,10,10,0,10,10
17,17,17,17,14,16.4,1.341640786,17.74164079,15.05835921,,,14,14,14,14,14,14,0,14,14,,,,,9,9,9,9,9,9,0,9,9
15,15,15,15,12,14.4,1.341640786,15.74164079,13.05835921,,,12,12,12,12,12,12,0,12,12,,,,,7,7,7,7,9,7.4,0.894427191,8.294427191,6.505572809
14,14,14,14,11,13.4,1.341640786,14.74164079,12.05835921,,,11,11,11,12,11,11.2,0.447213595,11.6472136,10.7527864,,,,,7,6,6,6,9,6.8,1.303840481,8.103840481,5.496159519
12,12,12,12,9,11.4,1.341640786,12.74164079,10.05835921,,,8,8,8,11,9,8.8,1.303840481,10.10384048,7.496159519,,,,,6,3,6,6,7,5.6,1.516575089,7.116575089,4.083424911
11,11,11,11,9,10.6,0.894427191,11.49442719,9.705572809,,,8,6,8,8,8,7.6,0.894427191,8.494427191,6.705572809,,,,,3,3,3,6,6,4.2,1.643167673,5.843167673,2.556832327
9,9,9,9,8,8.8,0.447213595,9.247213595,8.352786405,,,6,6,6,5,3,5.2,1.303840481,6.503840481,3.896159519,,,,,3,3,2,6,6,4,1.870828693,5.870828693,2.129171307
9,8,8,9,6,8,1.224744871,9.224744871,6.775255129,,,3,6,3,3,3,3.6,1.341640786,4.941640786,2.258359214,,,,,3,3,0,6,6,3.6,2.50998008,6.10998008,1.09001992
9,6,6,8,6,7,1.414213562,8.414213562,5.585786438,,,4,5,4,4,4,4.2,0.447213595,4.647213595,3.752786405,,,,,2,2,0,6,6,3.2,2.683281573,5.883281573,0.516718427
8,6,5,6,6,6.2,1.095445115,7.295445115,5.104554885,,,4,5,6,6,6,5.4,0.894427191,6.294427191,4.505572809,,,,,2,0,0,3,3,1.6,1.516575089,3.116575089,0.083424911
6,5,4,6,6,5.4,0.894427191,6.294427191,4.505572809,,,4,5,5,6,6,5.2,0.836660027,6.036660027,4.363339973,,,,,19,0,0,3,3,5,7.968688725,12.96868873,-2.968688725
