Hill Climbing Location 1,,,,,Hill Climbing Location 2,,,,,,Hill Climbing Location 3
,,,,,,,,,,,
,,,,,,,,,,,
27,,,,,24,,,,,,19
26,,,,,23,,,,,,18
24,,,,,21,,,,,,16
23,,,,,20,,,,,,15
21,,,,,18,,,,,,13
18,,,,,15,,,,,,10
17,,,,,14,,,,,,9
15,,,,,12,,,,,,7
14,,,,,11,,,,,,6
12,,,,,8,,,,,,3
11,,,,,5,,,,,,2
9,,,,,3,,,,,,0
8,,,,,3,,,,,,0
6,,,,,3,,,,,,0
5,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
4,,,,,3,,,,,,0
